Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
20;1071520;Поступление зарплаты на счет;Ремонт;0;0.3;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;407;53;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071540;Форма банка (без печати работодателя);Ремонт;0;0.4;мужской;1;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;125;39;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071560;Форма банка (без печати работодателя);Ремонт;1;0.27;женский;0;0;высшее;менеджер среднего звена;< 50;0;22;50;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071580;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.43;женский;0;0;высшее;вспомогательный персонал;>250;0;85;30;Торговля;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
20;1071600;2НДФЛ;Покупка мебели;0;0.19;женский;2;0;высшее;специалист;>250;1;25;31;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071620;2НДФЛ;Ремонт;1;0.39;мужской;0;0;высшее;рабочий;>250;0;117;31;Другое;ОАО;холост / не замужем;1;0;0;0;0;0.0307692308;0;1;0;0;0.4;4;6;126;10;2;1;3;93;1;1;0;0;0;0;0
20;1071640;Поступление зарплаты на счет;Покупка автомобиля;1;0.54;женский;1;0;незаконченное высшее;менеджер среднего звена;>250;0;59;29;Торговля;ООО;женат / замужем;1;1;0;0;0;0.34;0;2;0;0;0.6;4;1;33;5;3;0;3;99;1;1;1;1;0;0;0
20;1071660;Поступление зарплаты на счет;Ремонт;0;0.17;мужской;1;0;высшее;специалист;>250;0;14;30;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;4;22;4;0;1;9;97;0;0;0;0;0;0;0
20;1071680;Форма банка (без печати работодателя);Ремонт;0;0.33;мужской;0;0;высшее;специалист;>250;0;8;39;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071700;Поступление зарплаты на счет;Ремонт;1;0.44;женский;2;0;высшее;вспомогательный персонал;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071720;Форма банка (без печати работодателя);Другое;1;0.2;женский;1;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071740;2НДФЛ;Покупка недвижимости/ строительство;1;0.45;женский;1;0;незаконченное высшее;специалист;>250;3;93;35;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071760;Форма банка (без печати работодателя);Покупка автомобиля;1;0.24;мужской;0;0;высшее;специалист;>250;0;27;38;Торговля;ООО;женат / замужем;10;9;9;9;9;0.0422535211;0;0;0;0;0.25;1;3;68;4;0;0;24;94;1;0;0;0;0;0;0
20;1071780;2НДФЛ;Ремонт;1;0.26;мужской;2;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071800;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;0;0;высшее;торговый представитель;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071820;Поступление зарплаты на счет;Ремонт;0;0.3;мужской;1;0;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071840;2НДФЛ;Покупка недвижимости/ строительство;0;0.56;мужской;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071860;Форма банка (без печати работодателя);Покупка автомобиля;1;0.48;мужской;3;0;высшее;менеджер высшего звена;< 50;0;17;56;Торговля;ООО;женат / замужем;1;1;0;0;0;0.2333333333;1;2;0;0;0.75;3;1;23;4;2;1;3;26;1;1;0;0;0;0;0
20;1071880;Поступление зарплаты на счет;Отпуск;1;0.21;женский;0;0;высшее;вспомогательный персонал;>250;0;33;25;Другое;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
20;1071900;Поступление зарплаты на счет;Покупка автомобиля;1;0.28;мужской;2;0;высшее;менеджер среднего звена;>250;0;13;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071920;2НДФЛ;Покупка земли;1;0.24;мужской;1;0;ученая степень;специалист;>250;0;27;40;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071940;Форма банка (без печати работодателя);Ремонт;1;0.32;женский;0;0;высшее;торговый представитель;>250;0;11;24;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071960;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.39;женский;0;0;высшее;специалист;>250;0;66;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1071980;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.43;женский;0;0;высшее;специалист;>250;0;57;42;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072000;2НДФЛ;Ремонт;0;0.4;мужской;0;0;второе высшее;специалист;>250;0;6;25;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072020;2НДФЛ;Ремонт;1;0.42;женский;2;0;среднее-специальное;вспомогательный персонал;>250;0;173;35;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072040;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.22;женский;1;0;*n.a.*;менеджер среднего звена;< 50;0;55;32;Другое;ООО;женат / замужем;1;0;0;0;0;0;0;0;0;0;0;0;2;20;2;0;0;31;31;0;0;0;0;0;0;0
20;1072060;Поступление зарплаты на счет;Покупка автомобиля;0;0.57;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;1;109;48;Другое;ОАО;женат / замужем;0;0;0;0;0;0.0147783251;0;1;0;0;0.2307692308;3;10;200;13;2;7;3;82;1;0;0;0;0;0;0
20;1072080;Поступление зарплаты на счет;Ремонт;1;0.56;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;1;60;53;Другое;ЗАО;женат / замужем;1;1;1;0;0;0.0886075949;1;2;0;0;0.3333333333;4;5;72;9;2;0;3;39;1;1;0;0;0;0;0
20;1072100;2НДФЛ;Ремонт;0;0.36;женский;1;0;высшее;менеджер среднего звена;>250;0;16;30;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072120;Поступление зарплаты на счет;Ремонт;1;0.47;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;62;30;Торговля;ООО;женат / замужем;7;7;6;4;2;0.0306122449;0;1;0;0;0.1666666667;2;10;95;12;0;3;0;66;1;0;0;0;0;0;0
20;1072140;Поступление зарплаты на счет;Ремонт;1;0.49;женский;1;0;высшее;рабочий;>250;0;7;32;Торговля;ООО;женат / замужем;0;0;0;0;0;0.1197183099;0;1;0;0;0.2727272727;3;8;125;11;3;0;5;125;1;0;0;0;0;0;0
20;1072160;2НДФЛ;Покупка недвижимости/ строительство;0;0.42;мужской;0;0;высшее;менеджер среднего звена;>250;1;7;42;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072180;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.3;женский;0;0;высшее;специалист;< 50;0;120;43;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072200;Свободная форма с печатью работодателя;Ремонт;1;0.48;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;< 50;0;58;32;Другое;ООО;холост / не замужем;0;0;0;0;0;0.1428571429;0;1;0;0;1;2;0;12;2;1;0;3;11;1;0;0;0;0;0;0
20;1072220;2НДФЛ;Покупка мебели;1;0.18;женский;1;0;высшее;специалист;>250;3;87;40;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072240;Поступление зарплаты на счет;Ремонт;1;0.12;мужской;0;0;среднее-специальное;специалист;>250;0;8;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072260;Форма банка (без печати работодателя);Покупка автомобиля;0;0.43;мужской;0;0;среднее-специальное;рабочий;>250;0;179;51;Другое;ЗАО;женат / замужем;0;0;0;0;0;0;0;1;0;0;0.2;1;4;90;5;1;2;3;69;0;0;0;0;0;0;0
20;1072280;Форма банка (без печати работодателя);Ремонт;1;0.47;мужской;1;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072300;Поступление зарплаты на счет;Обучение;0;0.35;женский;0;0;высшее;специалист;>250;0;30;30;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072320;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.46;мужской;0;0;среднее-специальное;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072340;2НДФЛ;Ремонт;0;0.48;мужской;1;0;высшее;торговый представитель;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072360;Поступление зарплаты на счет;Ремонт;0;0.37;женский;1;0;высшее;менеджер среднего звена;>250;0;152;37;Другое;ООО;разведен / разведена;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
