iter	MultiClass
170	0.6437439595
171	0.6416510063
172	0.6391809856
173	0.6376791949
174	0.6360072724
175	0.6332732654
176	0.6300780737
177	0.6280927485
178	0.6256572911
179	0.6241344543
180	0.623391276
181	0.620550937
182	0.6180695596
183	0.6166069316
184	0.6142801311
185	0.6122683238
186	0.6103885681
187	0.6087347313
188	0.6061644948
189	0.6040593251
190	0.6029823725
191	0.601476246
192	0.6000015511
193	0.5985542729
194	0.5966718486
195	0.5957902543
196	0.5942828873
197	0.5916425949
198	0.5889610804
199	0.5872702139
200	0.5842716593
201	0.5828252193
202	0.5802641629
203	0.5785373751
204	0.5770445974
205	0.5751334922
206	0.5733223789
207	0.5714301581
208	0.5705241125
209	0.5683072029
210	0.566792116
211	0.5655159853
212	0.5636161759
213	0.5616692001
214	0.5598155834
215	0.5584269899
216	0.5555883631
217	0.5541492308
218	0.5518146237
219	0.5503408111
220	0.5473178419
221	0.5458716094
222	0.5442355558
223	0.5427330403
224	0.540974026
225	0.5398364501
226	0.5387788674
227	0.5369646008
228	0.536181227
229	0.5350872201
230	0.5333706551
231	0.5324252236
232	0.5307272811
233	0.5291296256
234	0.5281862021
235	0.5273563008
236	0.5263296061
237	0.5248905432
238	0.5234469307
239	0.5210558637
240	0.5195903225
241	0.5174581011
242	0.5158223687
243	0.5142396551
244	0.5130192641
245	0.511024588
246	0.5089184231
247	0.5078305753
248	0.5065823022
249	0.5047965347
250	0.5030275913
251	0.5003048509
252	0.498115264
253	0.4962130168
254	0.495450348
255	0.4943604486
256	0.4934708924
257	0.4921787891
258	0.4904422147
259	0.4896356811
260	0.4881911296
261	0.4867332166
262	0.4852592325
263	0.4837817467
264	0.4827493952
265	0.4817429058
266	0.4790620591
267	0.4774691138
268	0.4754995255
269	0.4751729157
270	0.4739196472
271	0.4725041356
272	0.4713431228
273	0.4698063505
274	0.4684584919
275	0.4668290726
276	0.4658261148
277	0.4639616606
278	0.4622499448
279	0.4608260931
280	0.4596246061
281	0.4586889292
282	0.4576538332
283	0.45558077
284	0.4540819264
285	0.4535250081
286	0.451920778
287	0.4508337702
288	0.4497689925
289	0.4483664945
290	0.4473813287
291	0.4460292104
292	0.4442780576
293	0.4427535716
294	0.4412076951
295	0.4402104201
296	0.4390982371
297	0.4374764198
298	0.4361489431
299	0.4345099827
300	0.433477008
301	0.4321924517
302	0.4313703719
303	0.4300679535
304	0.4281366227
305	0.4273194049
306	0.426086873
307	0.4245511705
308	0.4236409052
309	0.4230756835
310	0.4213182452
311	0.4204567504
312	0.4192524806
313	0.4178139571
314	0.416417177
315	0.4155557238
316	0.4138419932
317	0.4131069691
318	0.4114751936
319	0.4099814367
320	0.4086967741
321	0.4070787106
322	0.4053716928
323	0.4043405588
324	0.4033781137
325	0.4010600883
326	0.3994982642
327	0.3988643607
328	0.3977180552
329	0.3968041335
330	0.3954024488
331	0.3943095609
332	0.3940527217
333	0.392910637
334	0.3916042777
335	0.3906325158
336	0.3894837527
337	0.3882030372
338	0.3873968146
339	0.3861789699
340	0.3853118797
341	0.3839658424
342	0.382751887
343	0.3810031359
344	0.3801511607
345	0.3790695891
346	0.3780965089
347	0.3765629315
348	0.3754478357
349	0.3747457587
350	0.3736547301
351	0.3721492998
352	0.3713162861
353	0.3704999802
354	0.3689310164
355	0.3679627783
356	0.367080654
357	0.3659167555
358	0.3643134948
359	0.3634865292
360	0.3627623559
361	0.361817753
362	0.3601402064
363	0.3590299877
364	0.3575681477
365	0.3564766651
366	0.3556949631
367	0.3541762814
368	0.353753699
369	0.3526469858
370	0.3513267518
371	0.3508468382
372	0.3497774668
373	0.3490724553
374	0.3482223831
375	0.3475464629
376	0.3461964409
377	0.3450985661
378	0.3443548862
379	0.3435281623
380	0.3426365645
381	0.341783537
382	0.341087839
383	0.3404475164
384	0.3397345975
385	0.33840556
386	0.3373300111
387	0.3368503222
388	0.3359193419
389	0.3344703921
390	0.3340100714
391	0.3332201136
392	0.3322896649
393	0.3314090747
394	0.3303043582
395	0.3297606378
396	0.329148271
397	0.3277813991
398	0.3269456443
399	0.3263273707
400	0.3251660475
401	0.3241308691
402	0.32346404
403	0.3225012009
404	0.3220015385
405	0.3208689709
406	0.3203561219
407	0.3194382066
408	0.3184663608
409	0.3165084243
410	0.3158000759
411	0.314797247
412	0.3140625833
413	0.3134022004
414	0.3123418119
415	0.3115905667
416	0.3102605992
417	0.3094556181
418	0.30882299
419	0.3078824556
420	0.3072595346
421	0.3061330232
422	0.3057944935
423	0.3053466927
424	0.3045183376
425	0.3040041457
426	0.3036611675
427	0.3029038609
428	0.3019594617
429	0.3012221107
430	0.299700872
431	0.2988678472
432	0.2980644791
433	0.2968840129
434	0.2959021127
435	0.2952018447
436	0.2943223041
437	0.2937865182
438	0.2932940585
439	0.2928620365
440	0.2924657717
441	0.2915412774
442	0.2911005176
443	0.2904068646
444	0.289903545
445	0.2894235457
446	0.28898498
447	0.2886923805
448	0.2881262005
449	0.2870555234
450	0.2864175415
451	0.2856509862
452	0.2849854981
453	0.2839696515
454	0.283199207
455	0.2821845279
456	0.2812010884
457	0.2799560709
458	0.2795139746
459	0.2784689415
460	0.2774503377
461	0.2767930277
462	0.2762985466
463	0.2755679106
464	0.2742726592
465	0.2740028475
466	0.2729233368
467	0.2724153477
468	0.2718004912
469	0.2706734544
470	0.2697910963
471	0.2688077329
472	0.2683547636
473	0.2675473549
474	0.2667807172
475	0.2659172958
476	0.2656161778
477	0.2651778793
478	0.2643277244
479	0.2637907797
480	0.2632813418
481	0.2625202854
482	0.2612057085
483	0.2603915165
484	0.2594891
485	0.2587624533
486	0.2582140796
487	0.2577422555
488	0.2573286266
489	0.2566544237
490	0.2560162197
491	0.2549456504
492	0.2541320443
493	0.2534880396
494	0.2526948049
495	0.2522524067
496	0.2514336491
497	0.2509329037
498	0.2504589528
499	0.249764019
